,Constituency,Wards,Latitude,Longitude
0, Westlands,Kitisuru ,-1.2395542,36.7839651
1, Westlands, Parklands/Highridge ,-1.2630616,36.8106288
2, Westlands, Karura ,-1.2369881,36.8325591
3, Westlands, Kangemi ,-1.2654259,36.7525183
4, Westlands, Mountain View,-1.27113135,36.7430026163952
5, Dagoretti North,Kilimani ,-1.2874422,36.7845225
6, Dagoretti North, Kawangware ,-1.2784631,36.751643
7, Dagoretti North, Gatina ,-1.165572,36.8552637321635
8, Dagoretti North, Kileleshwa ,-1.2723271,36.7996878
9, Dagoretti North, Kabiro,-1.2878118,36.7515014
10, Dagoretti South,Mutu-ini ,-1.3,36.7
12, Dagoretti South, Riruta ,-1.2917037,36.7346929
13, Dagoretti South, Uthiru/Ruthimitu ,-1.2631329,36.7188955
14, Dagoretti South, Waithaka,-1.2833,36.7166
15, Lang'ata,Karen ,-1.3283746,36.7049676
16, Lang'ata, Nairobi West ,-1.3087022,36.8230975
17, Lang'ata, Mugumo-ini ,-1.1991235,36.8467412
18, Lang'ata, South C ,-1.3204427,36.83053678221
19, Lang'ata, Nyayo Highrise,-1.31600475,36.8017334485256
20, Kibra,Laini Saba ,-1.31234835,36.7961143509539
21, Kibra, Lindi ,-1.31516185,36.7928412300196
22, Kibra, Makina ,-1.30854575,36.786523790935
23, Kibra, Woodley/Kenyatta Golf Course ,-1.3056567,36.7760046486656
24, Kibra, Sarang'ombe,-1.31226715,36.777459321672
25, Roysambu,Githurai ,-1.2062932,36.9206391
26, Roysambu, Kahawa West ,-1.1856847,36.9057928
27, Roysambu, Zimmerman ,-1.2103969,36.8952212
28, Roysambu, Roysambu ,-1.2188396,36.8867392
29, Roysambu, Kahawa,-1.1869631,36.912022
30, Kasarani,Clay City ,-1.2208721,36.9012224
31, Kasarani, Mwiki ,-1.2322834,36.9275102
32, Kasarani, Kasarani ,-1.2208721,36.9012224
33, Kasarani, Njiru ,-1.2539022,36.9343299
34, Kasarani, Ruai,-1.2677339,36.9911112
35, Ruaraka,Babadogo ,-1.2433103,36.8910881
36, Ruaraka, Utalii ,-1.25571935,36.8612154995018
37, Ruaraka, Mathare North ,-1.251788,36.8707721668919
38, Ruaraka, Lucky Summer ,-1.2393083,36.898786
39, Ruaraka, Korogocho,-1.2514893,36.8903648
40, Embakasi South,Imara Daima ,-1.3285901,36.8743999
41, Embakasi South, Kwa Njenga ,-1.3166386,36.884663
42, Embakasi South, Kwa Reuben ,-1.3139148,36.869364
43, Embakasi South, Pipeline ,-1.0881862,36.5315908
44, Embakasi South, Kware,-1.3112904,36.8787583657258
45, Embakasi North,Kariobangi North ,-1.3151376,36.8673396050646
46, Embakasi North, Dandora Area I ,-1.2484935,36.8973498039052
47, Embakasi North, Dandora Area II ,-1.2484935,36.8973498039052
48, Embakasi North, Dandora Area III ,-1.2484935,36.8973498039052
49, Embakasi North, Dandora Area IV,-1.2484935,36.8973498039052
50, Embakasi Central,Kayole North ,-1.2659842,36.9169455
51, Embakasi Central, Kayole Central ,-1.2659842,36.9169455
52, Embakasi Central, Kayole South ,-1.2659842,36.9169455
53, Embakasi Central, Komarock ,-1.26725495,36.9052409561743
54, Embakasi Central, Matopeni/Spring Valley,-1.2477029,36.7892356
55, Embakasi East,Upper Savanna ,-1.324728,36.8877240016107
56, Embakasi East, Lower Savanna ,-1.324728,36.8877240016107
57, Embakasi East, Embakasi ,-1.324728,36.8877240016107
58, Embakasi East, Utawala ,-1.285877,36.9840868
59, Embakasi East, Mihang'o,-1.2692818,36.9529905
60, Embakasi West,Umoja I ,-1.2778669,36.8881172
61, Embakasi West, Umoja II ,-1.2818728,36.8993397
62, Embakasi West, Mowlem ,-1.324728,36.8877240016107
63, Embakasi West, Kariobangi South,-1.324728,36.8877240016107
64, Makadara,Makongeni ,-1.2873101,36.872107163246
65, Makadara, Maringo/Hamza ,-1.2920714,36.8657259236079
66, Makadara, Harambee ,-1.290941,36.8972158468002
67, Makadara, Viwandani,-1.3112438,36.8734716459076
68, Kamukunji,Pumwani ,-1.2797575,36.8442693
69, Kamukunji, Eastleigh North ,-1.2778285,36.8486835
70, Kamukunji, Eastleigh South ,-1.2778285,36.8486835
73, Starehe,Nairobi Central ,-1.2832533,36.8172449
74, Starehe, Ngara ,-1.277803,36.8300722
75, Starehe, Ziwani/Kariokor ,-1.2788772,36.8360883
76, Starehe, Pangani ,-1.2648989,36.8372708
77, Starehe, Landimawe ,-1.2694542,36.8355718558333
78, Starehe, Nairobi South,-1.314183,36.8235852
79, Mathare,Hospital ,-1.2616554,36.8487195292105
80, Mathare, Mabatini ,-1.2602912,36.8636162551298
81, Mathare, Huruma ,-1.25764595,36.8725983529175
82, Mathare, Ngei ,-1.25946895,36.866780978025
83, Mathare, Mlango Kubwa ,-1.2658072,36.8456235
84, Mathare, Kiamaiko,-1.25377765,36.8757324909119
